State,avg_monthly_ssi_payment,caps,arp_caregiver_family_support,ui_good_cause_caregiving,spousal_impoverishment,hcbs_expenditure_ratio,hcbs_user_ratio,pct_ltss_hcbs_older_adults,home_health_aides_per100,arp_waiting_list_diversion,arp_tech_telehealth,arp_cross_sector_investments,livability_transportation,livability_housing,hcbs_presumptive_eligibility,section_811_pra,vr_spending_career,vr_spending_training,special_ed_policy_score,arp_workforce_training,buy_in_working_people,subminimum_wage_14c,medicaid_eligibility_threshold,ssi_auto_enroll_medicaid,medically_needy,ssi_criteria_209,arp_quality_improvement,smd_demonstration_projects,initial_ar,reconsidered_ar,total_ar,adl_medicaid_coverage_pct,private_ltci_per1000,section_811_pct_disability,fema_shmp,family_responsibility_class,sdpi_minmax,sdpi_zscore,sdpi_hybrid
Alabama,1,0.11336032388663968,0.25089605734767023,0.5,1,0,0,0,0,0,0,0,0.03728813559322039,0.5389908256880733,1,0,0.015781922525107597,0,1,0,1,0.16564417177914087,1,0.4999999999999999,0.31379310344827566,0.16129032258064518,0.09565217391304348,0.10526315789473684,1,0,0.0967741935483871,0.6363636363636364,0,0,0,0,0.2870192865570295,-0.5419832473169841,-0.0026036994979839133
Alaska,0.05497259259484587,0.13360323886639675,0.44802867383512546,0.5,1,0,0,1,1,1,1,0.10810810810810811,0.5169491525423728,0.8577981651376146,1,0,0.37876614060258246,0.26595744680851063,0,0,0,1,0,0.9921874999999999,1,0.844574780058651,0.06086956521739131,0.631578947368421,0,0,0.06451612903225806,0.4090909090909091,0,1,0,1,0.4642702377902074,0.2655005809282855,0.4972470940621938
Arizona,0.33523884144482163,0.145748987854251,1,1,1,1,0,1,0,1,0,0.35135135135135137,0.6457627118644069,0.731651376146789,1,0,0.4404591104734577,0.2808510638297872,1,1,1,0.04907975460122683,1,0.7265625,0.3482758620689653,0.32844574780058644,0.0782608695652174,0.47368421052631576,1,1,0.25806451612903225,0.9090909090909091,0,1,0,0,0.5470612996726012,0.2559431501203391,0.5327573898924933
Arkansas,0.37267032108581377,0.056680161943319825,0.30824372759856633,0.5,0,0,0,1,0,1,0,0.04054054054054054,0,0.22018348623853226,1,1,0.30989956958393117,0.20212765957446807,1,1,1,0.3067484662576688,0,0.5234374999999999,0.40344827586206883,0.46627565982404695,0.06086956521739131,0.42105263157894735,1,0,0.1935483870967742,0.8181818181818182,0,0,0,0,0.3249333436881912,-0.2799996397126402,0.09623145152473644
California,0.08872357129887833,0.3481781376518218,0.41218637992831547,0.5,1,0,0,1,1,1,0.5,0.8648648648648649,0.19830508474576275,0.4977064220183486,1,1,1,0.4702127659574468,1,1,1,0.38650306748466245,0,0.7500000000000001,0.5482758620689655,0.7390029325513199,0.19130434782608696,0.631578947368421,1,1,0.3548387096774194,0.3181818181818182,1,1,1,0,0.6363520935663158,0.5039811773767592,0.6174995785188854
Colorado,0.1895849652451698,0.3643724696356275,0.3942652329749104,1,1,0,0,1,1,1,1,0,0.7694915254237289,0.8073394495412843,1,0,0.6872309899569583,0.45531914893617026,1,1,1,0.25153374233128806,0,0.33593750000000006,0.28965517241379307,0.44281524926686205,0.2608695652173913,0.631578947368421,1,1,0.3870967741935484,0.3181818181818182,0,1,1,0,0.6021492664206212,0.41647928956972,0.5595322177225024
Connecticut,0.3722787781815588,0.6761133603238867,0.1827956989247312,0,1,0,0,1,0,1,0,0.4189189189189189,0.3881355932203391,0.5091743119266054,0,1,0.40889526542324245,0.42127659574468085,0,1,0,0.6380368098159509,0,0.40624999999999994,0.5379310344827585,0.6832844574780059,0.3739130434782609,0.42105263157894735,1,1,0.25806451612903225,0.18181818181818182,0,1,0,1,0.47173706354268863,0.09785244122963652,0.35910882055011867
Delaware,0.4862176975977855,0.10526315789473684,0.12544802867383514,0.5,0,0,1,1,0,1,1,0,0.5711864406779662,0.6811926605504587,1,0,0.33572453371592537,0.1297872340425532,1,1,0,0.41717791411042937,0,0.6953124999999999,0.5413793103448274,0.6099706744868035,0.26956521739130435,0.21052631578947367,1,0,0.22580645161290322,0.6363636363636364,0,1,0,1,0.46794202125714596,0.12551069525316375,0.32561104280847253
District of Columbia,0.6184025061616962,0.1781376518218623,0.6451612903225806,1,1,0,0,1,0,1,0,0.35135135135135137,0.49661016949152537,0.49999999999999983,1,1,0.6169296987087518,0.24893617021276596,1,1,0,0.1779141104294478,0,0.48437499999999994,0.31379310344827566,0.8973607038123167,1,0.47368421052631576,1,0,1,0.3181818181818182,0,0,0,1,0.5028005364587009,0.3857596109543244,0.6095287896102788
Florida,0.2487862179567934,0.688259109311741,0.31541218637992835,1,0,0.5,0,0,1,1,0,0.14864864864864866,0.5779661016949154,0.45871559633027514,1,1,0.27259684361549497,0.13829787234042554,1,1,0,0.23926380368098155,1,0.39843749999999994,0.3103448275862069,0.31085043988269784,0.0782608695652174,0.42105263157894735,1,1,0.2903225806451613,0.7272727272727273,0,0,0,0,0.38247095283452853,-0.04329527970373724,0.2812691378203653
